customer_id,trans_date,churned,amount_spent,nr_of_transactions,score,scaled_tran,scaled_amount
FM4320,2019-09-26,1,2647,38,93.43493431855501,0.9714285714285714,0.8972701149425287
FM3799,2019-07-16,1,2513,36,88.17118226600985,0.9142857142857143,0.8491379310344828
FM3805,2019-09-11,1,2453,35,85.66502463054186,0.8857142857142857,0.8275862068965517
FM5752,2019-09-28,1,2612,33,85.66348522167489,0.8285714285714286,0.884698275862069
FM4074,2019-09-05,1,2462,34,84.39809113300491,0.8571428571428571,0.8308189655172413
FM1215,2019-08-03,1,2362,35,84.03068555008211,0.8857142857142857,0.7948994252873564
FM2620,2019-07-25,1,2360,35,83.99476600985221,0.8857142857142857,0.7941810344827587
FM1580,2019-06-07,1,2329,33,80.58087027914614,0.8285714285714286,0.7830459770114943
FM2951,2019-05-28,1,2382,32,80.10416666666667,0.8,0.8020833333333334
FM3163,2019-10-12,1,2413,31,79.23234811165845,0.7714285714285715,0.8132183908045977
FM5868,2019-03-30,1,2260,31,76.48450328407226,0.7714285714285715,0.7582614942528736
FM1695,2019-09-13,1,2174,32,76.36853448275862,0.8,0.7273706896551724
FM1865,2019-09-10,1,2245,31,76.21510673234812,0.7714285714285715,0.7528735632183908
FM1757,2019-09-26,1,2238,31,76.08938834154351,0.7714285714285715,0.7503591954022989
FM3362,2019-08-13,1,2303,30,75.82820197044336,0.7428571428571429,0.7737068965517241
FM3356,2019-10-10,1,2221,31,75.7840722495895,0.7714285714285715,0.7442528735632183
FM1978,2019-09-30,1,2220,31,75.76611247947456,0.7714285714285715,0.7438936781609196
FM1541,2019-07-26,1,2273,30,75.28940886699507,0.7428571428571429,0.7629310344827587
FM4303,2019-09-24,1,2181,31,75.0656814449918,0.7714285714285715,0.7298850574712644
FM3165,2019-08-21,1,2202,30,74.01426518883416,0.7428571428571429,0.7374281609195402
FM2361,2019-09-16,1,2193,30,73.85262725779967,0.7428571428571429,0.7341954022988506
FM3530,2019-08-25,1,2186,30,73.72690886699507,0.7428571428571429,0.7316810344827587
FM4139,2019-07-10,1,2099,31,73.59298029556652,0.7714285714285715,0.7004310344827587
FM2482,2019-08-29,1,2098,31,73.57502052545156,0.7714285714285715,0.7000718390804598
FM3702,2019-10-10,1,2175,30,73.52935139573071,0.7428571428571429,0.7277298850574713
FM5518,2019-10-05,1,2089,31,73.41338259441707,0.7714285714285715,0.6968390804597702
FM1397,2019-07-01,1,2156,30,73.1881157635468,0.7428571428571429,0.7209051724137931
FM3897,2019-10-11,1,2141,30,72.91871921182266,0.7428571428571429,0.7155172413793104
FM1923,2019-09-29,1,2130,30,72.72116174055829,0.7428571428571429,0.711566091954023
FM4603,2019-10-11,1,2111,30,72.37992610837438,0.7428571428571429,0.7047413793103449
FM2284,2019-09-01,1,2179,29,72.17261904761905,0.7142857142857143,0.7291666666666666
FM5026,2019-06-20,1,2098,30,72.14644909688013,0.7428571428571429,0.7000718390804598
FM5717,2019-10-02,1,2068,30,71.60765599343186,0.7428571428571429,0.6892959770114943
FM1367,2019-10-08,1,2146,29,71.57994663382594,0.7142857142857143,0.7173132183908046
FM3477,2019-10-06,1,1978,31,71.41984811165845,0.7714285714285715,0.6569683908045977
FM4014,2019-07-21,1,2133,29,71.34646962233168,0.7142857142857143,0.7126436781609196
FM1781,2019-06-08,1,2131,29,71.31055008210181,0.7142857142857143,0.7119252873563219
FM3842,2019-06-16,1,2124,29,71.1848316912972,0.7142857142857143,0.7094109195402298
FM2871,2019-07-22,1,2124,29,71.1848316912972,0.7142857142857143,0.7094109195402298
FM2938,2019-09-13,1,2039,30,71.08682266009852,0.7428571428571429,0.6788793103448276
FM3470,2019-10-13,1,2035,30,71.01498357963875,0.7428571428571429,0.6774425287356322
FM2702,2019-10-14,1,2090,29,70.57419950738917,0.7142857142857143,0.697198275862069
FM4939,2019-08-29,1,2088,29,70.53827996715928,0.7142857142857143,0.6964798850574713
FM5131,2019-08-08,1,2083,29,70.44848111658457,0.7142857142857143,0.694683908045977
FM3221,2019-07-19,1,2159,28,70.38485221674877,0.6857142857142857,0.7219827586206896
FM2179,2019-09-25,1,1991,30,70.22475369458128,0.7428571428571429,0.6616379310344828
FM4330,2019-07-21,1,1990,30,70.20679392446634,0.7428571428571429,0.6612787356321839
FM1373,2019-09-21,1,1967,30,69.79371921182266,0.7428571428571429,0.6530172413793104
FM5678,2019-08-14,1,1965,30,69.75779967159276,0.7428571428571429,0.6522988505747126
FM1332,2019-08-06,1,2010,29,69.13741789819376,0.7142857142857143,0.6684626436781609
